article1_id,article2_id,score
73,55,0.8141974806785583
88,1,0.8401219248771667
73,34,0.8097465634346008
89,52,0.8194323182106018
93,15,0.6600252389907837
10,43,0.7908042669296265
46,36,0.8133429288864136
29,41,0.8373225927352905
64,79,0.7586116790771484
16,23,0.7932875156402588
40,29,0.7998500466346741
64,2,0.7909950017929077
29,70,0.831206738948822
29,3,0.7292055487632751
74,2,0.7693982124328613
79,44,0.6014288067817688
23,74,0.6943610906600952
64,53,0.7260948419570923
71,88,0.8239887356758118
71,53,0.7831128239631653
61,62,0.8234970569610596
57,1,0.8396455645561218
66,47,0.8402882814407349
47,70,0.7925257086753845
9,85,0.8526549339294434
90,21,0.8439759016036987
22,29,0.8241235613822937
78,16,0.7405439019203186
44,60,0.6862679123878479
41,92,0.8388749957084656
11,75,0.6809737682342529
35,43,0.7147307991981506
86,18,0.7560883164405823
79,37,0.6528998017311096
29,59,0.7813273072242737
54,40,0.7702409625053406
8,70,0.820778489112854
78,21,0.8744276165962219
66,29,0.8389075398445129
56,21,0.8855985403060913
23,86,0.7256671190261841
6,32,0.8433921933174133
59,85,0.7515125870704651
95,35,0.8544595241546631
35,79,0.6472175121307373
9,43,0.7800044417381287
46,35,0.7376444339752197
29,6,0.7828235626220703
25,40,0.8503795266151428
8,31,0.8259004354476929
45,64,0.8188159465789795
21,75,0.6955136060714722
86,11,0.7272353172302246
26,37,0.779721736907959
49,82,0.6757818460464478
53,68,0.7855216860771179
63,39,0.8028038740158081
56,39,0.7818461060523987
17,10,0.7930236458778381
22,89,0.8424496650695801
33,80,0.8354334831237793
35,55,0.7746549844741821
2,8,0.8197928667068481
68,62,0.8728451728820801
76,44,0.840410053730011
24,46,0.7013442516326904
18,19,0.85480797290802
86,75,0.838095486164093
22,27,0.8358878493309021
59,89,0.8111310005187988
74,68,0.7852156758308411
13,6,0.8470288515090942
90,91,0.8677200675010681
13,64,0.8193406462669373
21,2,0.7776191830635071
33,11,0.9066447615623474
85,20,0.7968994975090027
40,28,0.7303328514099121
71,7,0.8412137627601624
20,70,0.7556660771369934
70,67,0.8001176118850708
91,90,0.8677200675010681
25,1,0.8563933372497559
39,33,0.748738706111908
15,63,0.718262255191803
64,30,0.6955535411834717
49,72,0.6747717261314392
29,64,0.8530097007751465
41,27,0.8719057440757751
24,23,0.7036565542221069
52,33,0.8115625977516174
81,87,0.8762965202331543
46,25,0.884776771068573
27,12,0.8969045281410217
45,89,0.8966563940048218
15,0,0.6913126111030579
19,69,0.8861609697341919
14,26,0.8492028117179871
6,58,0.8269066214561462
74,67,0.6803821325302124
56,68,0.8246870040893555
4,83,0.7091401219367981
1,36,0.7937408089637756
17,80,0.8657099008560181
45,84,0.8557949066162109
67,35,0.7210730910301208
49,78,0.6814659237861633
6,56,0.8629647493362427
27,70,0.8060242533683777
59,75,0.6497358679771423
14,64,0.8816126585006714
20,92,0.765523374080658
21,20,0.8372628092765808
4,44,0.768617570400238
19,54,0.8152455687522888
66,16,0.8041713237762451
37,64,0.7581854462623596
45,11,0.8954731822013855
73,78,0.8487855195999146
24,54,0.7393798828125
16,17,0.8190668225288391
59,6,0.7114213109016418
78,89,0.8877857327461243
64,92,0.9039154052734375
2,31,0.7577075958251953
94,60,0.7490172386169434
82,29,0.7585018277168274
58,20,0.7813940048217773
30,58,0.6925515532493591
95,36,0.7362279295921326
3,5,0.6837303638458252
90,73,0.8263202905654907
59,24,0.6818026900291443
82,59,0.6624841094017029
17,89,0.8574836850166321
20,93,0.6873487830162048
83,30,0.7218560576438904
3,88,0.7009212374687195
3,31,0.7611883282661438
35,54,0.8113880753517151
30,75,0.8360394239425659
19,0,0.7513517141342163
80,9,0.8087223768234253
82,77,0.7258960604667664
9,20,0.7702870965003967
3,58,0.6805424690246582
75,63,0.7210413217544556
78,60,0.7786282300949097
74,1,0.7670873403549194
43,70,0.7934726476669312
66,43,0.8234601020812988
73,67,0.8523902297019958
84,69,0.8282359838485718
92,73,0.8542169332504272
12,24,0.7099010944366455
45,7,0.8980599641799927
44,78,0.6780906915664673
73,16,0.7907933592796326
34,64,0.8646408319473267
30,93,0.687313973903656
29,22,0.8241235613822937
92,35,0.7309897541999817
3,54,0.7516136169433594
89,87,0.79951411485672
3,1,0.7897740602493286
51,29,0.8352530598640442
53,30,0.7563431859016418
10,45,0.7765561938285828
79,69,0.7326306104660034
49,0,0.7336974143981934
29,43,0.8603346943855286
82,50,0.7969263195991516
71,17,0.8624475002288818
3,6,0.7478046417236328
44,27,0.7530996799468994
69,24,0.6913493275642395
53,36,0.6862046122550964
5,85,0.7668415904045105
34,67,0.8544807434082031
60,86,0.7781800031661987
66,51,0.8246143460273743
0,62,0.7162813544273376
74,3,0.8116778135299683
38,53,0.7302865386009216
84,52,0.8260912895202637
36,19,0.8158650994300842
58,65,0.6862262487411499
55,69,0.8459780812263489
41,90,0.8039599657058716
86,45,0.7615017890930176
90,32,0.840012788772583
89,76,0.7026465535163879
