article1_id,article2_id,ad1_id,ad2_id,score
65,35,2,2,0.829470694065094
44,16,2,2,0.6406381726264954
82,49,2,2,0.726059079170227
85,84,2,2,0.8032358288764954
83,86,2,2,0.7389649748802185
6,24,2,2,0.649458646774292
42,89,2,2,0.835613489151001
48,78,2,2,0.7667854428291321
7,93,2,2,0.8159412741661072
59,7,2,2,0.7105719447135925
34,55,2,2,0.8653782606124878
58,31,2,2,0.8069218993186951
56,36,2,2,0.7939317226409912
32,17,2,2,0.8014835715293884
1,66,2,2,0.8644912242889404
83,75,2,2,0.7018789052963257
38,41,2,2,0.7948281764984131
13,92,2,2,0.8642659783363342
51,5,2,2,0.8032034635543823
50,5,2,2,0.7750502228736877
91,16,2,2,0.791565477848053
27,71,2,2,0.8315654993057251
92,80,2,2,0.8069414496421814
80,63,2,2,0.7038713097572327
85,95,2,2,0.8146499991416931
71,90,2,2,0.8176971673965454
95,85,2,2,0.8146499991416931
40,17,2,2,0.7764341831207275
1,95,2,2,0.7977034449577332
22,17,2,2,0.8002030253410339
18,37,2,2,0.8331810832023621
32,52,2,2,0.8442589044570923
13,41,2,2,0.8098688721656799
26,57,2,2,0.7955513596534729
58,81,2,2,0.8146794438362122
59,39,2,2,0.811220645904541
7,74,2,2,0.7415053248405457
28,3,2,2,0.715016782283783
31,63,2,2,0.7390733361244202
19,55,2,2,0.8010706901550293
57,4,2,2,0.7579580545425415
81,48,2,2,0.7584788203239441
11,51,2,2,0.8786504864692688
31,33,2,2,0.7824079990386963
62,55,2,2,0.8338136076927185
74,43,2,2,0.7678519487380981
71,39,2,2,0.8009442090988159
51,34,2,2,0.8086252212524414
95,48,2,2,0.8256843686103821
90,14,2,2,0.8296709656715393
11,84,2,2,0.9227059483528137
17,15,2,2,0.7616761326789856
86,12,2,2,0.7211912870407104
88,22,2,2,0.7680879235267639
1,31,2,2,0.8465232849121094
9,4,2,2,0.7407044172286987
0,75,2,2,0.6943327784538269
29,61,2,2,0.7114202380180359
4,52,2,2,0.7123023867607117
73,88,2,2,0.8633682131767273
72,75,2,2,0.7693220376968384
87,12,2,2,0.8508915305137634
11,70,2,2,0.9170640110969543
79,50,2,2,0.761630654335022
15,57,2,2,0.7826973795890808
91,74,2,2,0.8060671091079712
13,48,2,2,0.7749325633049011
59,29,2,2,0.7797649502754211
78,52,2,2,0.8467549085617065
58,90,2,2,0.8357921242713928
47,81,2,2,0.7535691857337952
49,34,2,2,0.7391455173492432
70,88,2,2,0.7990763783454895
64,73,2,2,0.7856462001800537
56,73,2,2,0.7896997928619385
6,40,2,2,0.9153758883476257
35,39,2,2,0.7811266183853149
8,53,2,2,0.8176663517951965
72,71,2,2,0.7385392189025879
36,91,2,2,0.7758246660232544
0,64,2,2,0.8094658851623535
4,25,2,2,0.7623854279518127
53,80,2,2,0.8104482293128967
24,82,2,2,0.7474055886268616
23,6,2,2,0.8147473931312561
42,51,2,2,0.8719298243522644
54,39,2,2,0.7930082678794861
58,79,2,2,0.8121722340583801
62,18,2,2,0.8012234568595886
81,22,2,2,0.769680380821228
56,36,2,2,0.7939317226409912
20,93,2,2,0.711972177028656
29,38,2,2,0.8547696471214294
37,87,2,2,0.7858564257621765
30,89,2,2,0.7877336740493774
43,47,2,2,0.7755514979362488
60,55,2,2,0.8500313758850098
45,76,2,2,0.7159422039985657
47,9,2,2,0.7682993412017822
22,93,2,2,0.7453029751777649
74,83,2,2,0.7664242386817932
53,48,2,2,0.8032738566398621
53,41,2,2,0.753642201423645
72,36,2,2,0.8546537160873413
81,83,2,2,0.8033849596977234
20,62,2,2,0.7882927656173706
18,0,2,2,0.8345686793327332
47,37,2,2,0.8043908476829529
2,53,2,2,0.7212878465652466
95,26,2,2,0.6873041987419128
36,48,2,2,0.7472933530807495
56,94,2,2,0.7884392738342285
59,78,2,2,0.762795090675354
51,78,2,2,0.8260316252708435
32,52,2,2,0.8442589044570923
3,11,2,2,0.675872802734375
63,31,2,2,0.7390733361244202
77,14,2,2,0.830322802066803
4,23,2,2,0.7619753479957581
91,54,2,2,0.8508837223052979
71,74,2,2,0.7579622864723206
57,36,2,2,0.7844313979148865
35,73,2,2,0.7299108505249023
38,76,2,2,0.7403286695480347
92,59,2,2,0.7547225952148438
27,72,2,2,0.7937400341033936
87,19,2,2,0.7486752867698669
81,60,2,2,0.7650144696235657
31,57,2,2,0.7886442542076111
66,90,2,2,0.7655343413352966
47,12,2,2,0.8530761003494263
17,39,2,2,0.8559699654579163
15,26,2,2,0.7505974769592285
78,43,2,2,0.7354335784912109
72,44,2,2,0.7083702683448792
84,77,2,2,0.8570912480354309
81,47,2,2,0.7535691857337952
26,38,2,2,0.8441939353942871
64,78,2,2,0.8235405087471008
36,76,2,2,0.7343356609344482
55,80,2,2,0.8758147954940796
21,60,2,2,0.7388530969619751
26,14,2,2,0.7991923093795776
47,39,2,2,0.802390456199646
83,55,2,2,0.8268032670021057
42,27,2,2,0.8312990069389343
94,18,2,2,0.7315426468849182
49,66,2,2,0.692057728767395
63,33,2,2,0.7243702411651611
52,91,2,2,0.790178656578064
54,71,2,2,0.7918708324432373
23,81,2,2,0.7999697923660278
20,19,2,2,0.7965152263641357
71,12,2,2,0.881379246711731
6,86,2,2,0.7205519080162048
88,14,2,2,0.8733250498771667
33,72,2,2,0.7089405655860901
81,22,2,2,0.769680380821228
94,56,2,2,0.7884392738342285
77,48,2,2,0.7656224966049194
72,77,2,2,0.7502353191375732
94,80,2,2,0.8089659810066223
94,39,2,2,0.7731224298477173
66,27,2,2,0.812106728553772
89,40,2,2,0.8563607931137085
86,54,2,2,0.785416305065155
32,50,2,2,0.7681819796562195
22,61,2,2,0.6977860927581787
37,27,2,2,0.8265026807785034
49,0,2,2,0.7551931142807007
90,10,2,2,0.7982984781265259
36,75,2,2,0.6904528737068176
94,70,2,2,0.7780717015266418
70,33,2,2,0.8666151165962219
6,77,2,2,0.7833770513534546
23,44,2,2,0.6741684675216675
47,22,2,2,0.8273988962173462
26,73,2,2,0.8101814985275269
23,91,2,2,0.80997633934021
49,5,2,2,0.6957731246948242
80,64,2,2,0.7842664122581482
50,81,2,2,0.7821907997131348
41,87,2,2,0.8377537131309509
45,21,2,2,0.855572521686554
90,24,2,2,0.7335810661315918
49,33,2,2,0.7629998922348022
33,3,2,2,0.6857718825340271
84,53,2,2,0.8309265375137329
28,93,2,2,0.6893158555030823
85,49,2,2,0.7509810328483582
19,74,2,2,0.735646665096283
90,79,2,2,0.8326675891876221
4,62,2,2,0.7799015641212463
7,61,2,2,0.7047749757766724
10,40,2,2,0.7808640599250793
61,75,2,2,0.8085237741470337
75,49,2,2,0.7652366757392883
37,39,2,2,0.7982413172721863
9,24,2,2,0.6550763845443726
44,71,2,2,0.7044060826301575
