article1_id,article2_id,score
65,35,0.8067208528518677
44,16,0.71211177110672
82,49,0.7192804217338562
85,84,0.8360342383384705
83,86,0.7356081008911133
6,24,0.6859868168830872
42,89,0.8539195656776428
48,78,0.8136300444602966
7,93,0.7722972631454468
59,7,0.7416829466819763
34,55,0.8689794540405273
58,31,0.8120874762535095
56,36,0.7418795228004456
32,17,0.825764000415802
1,66,0.8342594504356384
83,75,0.6738112568855286
38,41,0.7867065072059631
13,92,0.8381998538970947
51,5,0.817112922668457
50,5,0.779705286026001
91,16,0.8142824769020081
27,71,0.8317212462425232
92,80,0.8163779973983765
80,63,0.7536478638648987
85,95,0.7619888186454773
71,90,0.8092740178108215
95,85,0.7619888186454773
40,17,0.754092812538147
1,95,0.8170470595359802
22,17,0.831427812576294
18,37,0.7679607272148132
32,52,0.8139412999153137
13,41,0.7852832078933716
26,57,0.8207839727401733
58,81,0.7473246455192566
59,39,0.7598440051078796
7,74,0.7315387725830078
28,3,0.7588505148887634
31,63,0.7606704235076904
19,55,0.8671458959579468
57,4,0.7572556734085083
81,48,0.8072665929794312
11,51,0.8493967056274414
31,33,0.7761769890785217
62,55,0.8024466633796692
74,43,0.7116171717643738
71,39,0.8201441168785095
51,34,0.8233180642127991
95,48,0.8683938980102539
90,14,0.7726974487304688
11,84,0.8971624374389648
17,15,0.7513365745544434
86,12,0.7430204749107361
88,22,0.835868239402771
1,31,0.8388539552688599
9,4,0.7386186718940735
0,75,0.6912871599197388
29,61,0.7456329464912415
4,52,0.7484363317489624
73,88,0.8660367727279663
72,75,0.7425545454025269
87,12,0.7895878553390503
11,70,0.8679152131080627
79,50,0.8106210827827454
15,57,0.7851639986038208
91,74,0.8173741698265076
13,48,0.8040708303451538
59,29,0.7835464477539062
78,52,0.8558968305587769
58,90,0.8169834613800049
47,81,0.7482430338859558
49,34,0.7625522017478943
70,88,0.8607938885688782
64,73,0.8183247447013855
56,73,0.7923009991645813
6,40,0.7976198196411133
35,39,0.7716428637504578
8,53,0.7778788805007935
72,71,0.8093934059143066
36,91,0.7824679017066956
0,64,0.80548495054245
4,25,0.7462508082389832
53,80,0.791378378868103
24,82,0.7304466366767883
23,6,0.8589994311332703
42,51,0.834040641784668
54,39,0.8139947652816772
58,79,0.8364083766937256
62,18,0.8051076531410217
81,22,0.7640992999076843
56,36,0.7418795228004456
20,93,0.6831541061401367
29,38,0.8392020463943481
37,87,0.7400627732276917
30,89,0.7913383841514587
43,47,0.8124522566795349
60,55,0.8491301536560059
45,76,0.741330087184906
47,9,0.8321298360824585
22,93,0.698453962802887
74,83,0.7140341401100159
53,48,0.7745957374572754
53,41,0.7587865591049194
72,36,0.8483186364173889
81,83,0.7418674230575562
20,62,0.7138915657997131
18,0,0.8140612840652466
47,37,0.8082610368728638
2,53,0.6931049823760986
95,26,0.7816102504730225
36,48,0.7250498533248901
56,94,0.7877548336982727
59,78,0.7319870591163635
51,78,0.8098545074462891
32,52,0.8139412999153137
3,11,0.6513401865959167
63,31,0.7606704235076904
77,14,0.8144367337226868
4,23,0.7636188864707947
91,54,0.8337209820747375
71,74,0.7884460091590881
57,36,0.7827317118644714
35,73,0.7261662483215332
38,76,0.7218337655067444
92,59,0.7595639824867249
27,72,0.880577027797699
87,19,0.7859485149383545
81,60,0.78190016746521
31,57,0.8051557540893555
66,90,0.7907814979553223
47,12,0.8704879879951477
17,39,0.8546202182769775
15,26,0.741497278213501
78,43,0.7553555965423584
72,44,0.7377332448959351
84,77,0.8316054344177246
81,47,0.7482430338859558
26,38,0.8061334490776062
64,78,0.8091731667518616
36,76,0.6871067881584167
55,80,0.832583487033844
21,60,0.7590001225471497
26,14,0.7756004333496094
47,39,0.8206121325492859
83,55,0.8664408326148987
42,27,0.875922441482544
94,18,0.7463409900665283
49,66,0.7655007243156433
63,33,0.7168512940406799
52,91,0.8185137510299683
54,71,0.7811446189880371
23,81,0.7312332987785339
20,19,0.8173569440841675
71,12,0.8517280220985413
6,86,0.6842443346977234
88,14,0.8691465258598328
33,72,0.7705565690994263
81,22,0.7640992999076843
94,56,0.7877548336982727
77,48,0.8009426593780518
72,77,0.8411021828651428
94,80,0.8040719032287598
94,39,0.7482860684394836
66,27,0.8436158895492554
89,40,0.7782034873962402
86,54,0.7735986113548279
32,50,0.8305590152740479
22,61,0.7382851243019104
37,27,0.8098985552787781
49,0,0.7394863367080688
90,10,0.7470492124557495
36,75,0.6687731146812439
94,70,0.8113921284675598
70,33,0.8071509003639221
6,77,0.7889293432235718
23,44,0.6638472080230713
47,22,0.8003068566322327
26,73,0.7677035927772522
23,91,0.8618675470352173
49,5,0.6935781240463257
80,64,0.826847493648529
50,81,0.7218616604804993
41,87,0.8005827069282532
45,21,0.8641223907470703
90,24,0.7573527693748474
49,33,0.6836312413215637
33,3,0.6137059926986694
84,53,0.7999321222305298
28,93,0.6810126304626465
85,49,0.6989773511886597
19,74,0.7009119391441345
90,79,0.8270031809806824
4,62,0.7518184185028076
7,61,0.6896061301231384
10,40,0.7455654144287109
61,75,0.7460500597953796
75,49,0.772184431552887
37,39,0.7764522433280945
9,24,0.7106493711471558
44,71,0.750005841255188
0,77,0.7749605178833008
50,65,0.7504220604896545
63,47,0.7803090810775757
53,66,0.7943031191825867
65,67,0.7570637464523315
33,61,0.704962432384491
72,38,0.8062472939491272
40,52,0.814125657081604
73,15,0.6940855979919434
71,0,0.7790123820304871
8,91,0.889651358127594
46,88,0.8582735061645508
39,33,0.7586166858673096
79,49,0.7462672591209412
78,37,0.7347699403762817
11,28,0.7537024021148682
40,26,0.706076979637146
33,46,0.8963770866394043
92,71,0.8205310106277466
31,42,0.8731899261474609
22,64,0.8097416758537292
25,63,0.7775881290435791
18,68,0.8178139925003052
43,38,0.7490311861038208
68,91,0.8261775374412537
40,84,0.7637510299682617
80,10,0.8383510112762451
85,33,0.7989635467529297
7,21,0.8515844345092773
5,39,0.7980974912643433
29,55,0.8678004145622253
32,9,0.8227818608283997
28,63,0.7471054196357727
28,80,0.7403106093406677
81,94,0.7333211302757263
47,68,0.802609384059906
37,3,0.5893920660018921
36,69,0.7911565899848938
95,46,0.7497490048408508
64,77,0.8388237357139587
78,37,0.7347699403762817
71,84,0.8556289076805115
76,51,0.7012972235679626
26,11,0.8506762385368347
55,56,0.8158739805221558
93,3,0.6445114612579346
46,80,0.8430001735687256
53,55,0.7740882635116577
55,57,0.8175303936004639
18,8,0.7778080701828003
72,90,0.768284022808075
45,38,0.8765316605567932
78,70,0.8109829425811768
32,26,0.8368430733680725
50,43,0.7544035315513611
68,54,0.7628191113471985
15,95,0.7081707715988159
39,57,0.8168099522590637
35,92,0.7233015894889832
65,22,0.7518692016601562
35,56,0.748937726020813
82,51,0.7597055435180664
3,88,0.6606476306915283
62,5,0.7757800221443176
6,58,0.823054850101471
2,79,0.6696445345878601
13,7,0.8537449240684509
71,34,0.8606725931167603
85,57,0.8489672541618347
68,48,0.8146006464958191
94,15,0.7330271005630493
72,49,0.7559607028961182
14,31,0.7935102581977844
95,89,0.7794523239135742
46,81,0.6955973505973816
46,15,0.7348691821098328
67,86,0.7401971817016602
77,56,0.8049229383468628
32,46,0.8103632926940918
70,69,0.7778552770614624
90,26,0.8244694471359253
45,85,0.8101406097412109
37,8,0.7126117944717407
82,63,0.706786572933197
5,14,0.8040362000465393
24,69,0.771011233329773
66,72,0.8287879228591919
75,32,0.6787002086639404
62,36,0.7819836735725403
51,45,0.8589763641357422
0,61,0.7202819585800171
54,23,0.7508203387260437
65,52,0.7284761071205139
43,48,0.7440793514251709
9,34,0.8378416299819946
22,26,0.8182389140129089
60,44,0.6778672933578491
30,79,0.7780146598815918
69,16,0.8325782418251038
12,51,0.8694440722465515
24,10,0.7448679208755493
20,42,0.7712249755859375
91,5,0.7739220261573792
20,10,0.741916835308075
87,56,0.7974784970283508
36,62,0.7819836735725403
76,12,0.7156254053115845
61,92,0.6874017715454102
1,9,0.8439905643463135
91,27,0.9156208038330078
1,27,0.8379575610160828
61,17,0.8150114417076111
45,44,0.6912657022476196
26,47,0.7838353514671326
43,50,0.7544035315513611
72,5,0.8694652318954468
95,58,0.7933756113052368
49,45,0.7200244665145874
47,92,0.8523691892623901
61,26,0.7474911212921143
45,65,0.7556983232498169
55,93,0.7240641117095947
79,5,0.7554656863212585
15,44,0.6795843839645386
91,90,0.8267464637756348
87,37,0.7400627732276917
43,77,0.7892200946807861
10,64,0.7793231010437012
33,16,0.8387893438339233
62,52,0.7570703029632568
49,17,0.7559725046157837
44,57,0.6656505465507507
18,93,0.7508098483085632
40,42,0.7124406099319458
78,13,0.8591108322143555
12,50,0.8508116602897644
92,93,0.7496201992034912
28,35,0.8979623913764954
60,81,0.78190016746521
0,77,0.7749605178833008
35,46,0.7610235810279846
52,71,0.7990187406539917
7,37,0.7892898917198181
48,71,0.8087814450263977
49,11,0.7197401523590088
17,21,0.8222095370292664
48,13,0.8040708303451538
20,22,0.759293258190155
71,16,0.8317410349845886
57,63,0.7496193647384644
14,77,0.8144367337226868
9,91,0.8526685237884521
53,17,0.8125267624855042
5,25,0.8287230730056763
63,50,0.7022267580032349
4,67,0.8027553558349609
94,33,0.7636262774467468
3,71,0.7324874997138977
0,8,0.7289636135101318
9,36,0.7584108114242554
29,91,0.8528232574462891
5,48,0.7419430017471313
22,74,0.7432129383087158
48,67,0.7701736688613892
9,1,0.8439905643463135
9,55,0.8380499482154846
43,72,0.7772693037986755
50,2,0.7750573754310608
36,95,0.7210032343864441
8,75,0.816238284111023
37,57,0.7662215232849121
24,8,0.7830628156661987
69,37,0.7884718179702759
25,23,0.8508368730545044
2,77,0.7648071646690369
93,15,0.6478632092475891
92,21,0.8381958603858948
48,78,0.8136300444602966
36,73,0.8424907922744751
81,83,0.7418674230575562
75,43,0.6778510808944702
50,28,0.7226850390434265
62,87,0.7566958665847778
8,29,0.7854163646697998
26,56,0.791163444519043
19,61,0.6991150379180908
14,89,0.911626935005188
74,93,0.7046236395835876
22,72,0.8837730884552002
91,40,0.7268097996711731
55,15,0.7157101035118103
44,85,0.6748164296150208
9,6,0.8898284435272217
30,19,0.7719460725784302
7,88,0.8372699022293091
91,76,0.7881494760513306
70,40,0.7379449009895325
15,20,0.7212857007980347
39,68,0.8275632858276367
67,92,0.84513258934021
5,79,0.7554656863212585
8,50,0.7619332075119019
60,10,0.758264422416687
39,73,0.7677487730979919
12,15,0.7353646755218506
