article1_id,article2_id,ad1_id,ad2_id,score
3,71,3,3,0.7481783628463745
0,8,3,3,0.6842580437660217
9,36,3,3,0.8240488767623901
29,91,3,3,0.8036988973617554
5,48,3,3,0.7314670085906982
22,74,3,3,0.7221388816833496
48,67,3,3,0.79972904920578
9,1,3,3,0.8873337507247925
9,55,3,3,0.8033302426338196
43,72,3,3,0.7862445116043091
50,2,3,3,0.8585878014564514
36,95,3,3,0.7157393097877502
8,75,3,3,0.8254905939102173
37,57,3,3,0.7391790747642517
24,8,3,3,0.7905270457267761
69,37,3,3,0.7572375535964966
25,23,3,3,0.8734223246574402
2,77,3,3,0.7604963779449463
93,15,3,3,0.6932860612869263
92,21,3,3,0.8672260642051697
48,78,3,3,0.7554601430892944
36,73,3,3,0.8663268089294434
81,83,3,3,0.7529032826423645
75,43,3,3,0.6979622840881348
50,28,3,3,0.7611954808235168
62,87,3,3,0.7667904496192932
8,29,3,3,0.8269694447517395
26,56,3,3,0.8294644355773926
19,61,3,3,0.7570787668228149
14,89,3,3,0.9281101226806641
74,93,3,3,0.658165454864502
22,72,3,3,0.8823481798171997
91,40,3,3,0.7829854488372803
55,15,3,3,0.7338521480560303
44,85,3,3,0.7200669646263123
9,6,3,3,0.828549325466156
30,19,3,3,0.7649978995323181
7,88,3,3,0.8654330372810364
91,76,3,3,0.8031260967254639
70,40,3,3,0.7886369228363037
15,20,3,3,0.7782086133956909
39,68,3,3,0.8476607203483582
67,92,3,3,0.9256829619407654
5,79,3,3,0.7696096897125244
8,50,3,3,0.7833034992218018
60,10,3,3,0.8001390695571899
39,73,3,3,0.7817977666854858
12,15,3,3,0.7848301529884338
8,24,3,3,0.7905270457267761
70,22,3,3,0.7915669679641724
33,59,3,3,0.7641782760620117
31,56,3,3,0.8018167018890381
0,71,3,3,0.7422791123390198
88,83,3,3,0.7510278820991516
35,93,3,3,0.700666069984436
93,5,3,3,0.8104979395866394
54,19,3,3,0.7831665277481079
91,22,3,3,0.7434582710266113
83,23,3,3,0.8288026452064514
15,24,3,3,0.7055563926696777
12,82,3,3,0.8030550479888916
24,89,3,3,0.7591544985771179
85,84,3,3,0.8759332299232483
60,15,3,3,0.731164813041687
39,87,3,3,0.8127421140670776
49,11,3,3,0.7850360870361328
82,51,3,3,0.7852601408958435
55,35,3,3,0.7470247745513916
55,89,3,3,0.8452762365341187
47,7,3,3,0.8404030203819275
44,15,3,3,0.7679331302642822
29,79,3,3,0.800225019454956
92,84,3,3,0.8681120872497559
40,14,3,3,0.8710898160934448
40,66,3,3,0.7854028344154358
93,91,3,3,0.7338354587554932
74,40,3,3,0.7398826479911804
64,34,3,3,0.7775403261184692
7,9,3,3,0.8497952818870544
44,25,3,3,0.7022697329521179
25,0,3,3,0.8187117576599121
88,29,3,3,0.8100242614746094
80,66,3,3,0.8395364284515381
33,93,3,3,0.7753955125808716
